55.14511;7.16885;-25.722191
55.09370;7.17046;-29.000000
55.10326;7.17037;-29.000000
55.13648;7.16906;-24.101379
55.13080;7.19024;-24.922518
55.15370;7.16842;-26.000000
55.09149;7.22571;-29.839767
55.06758;7.17449;-28.000000
55.07886;7.18837;-29.000000
55.11117;7.17018;-27.634621
55.09208;7.20594;-32.000000
55.09280;7.18854;-30.000000
55.12785;7.16942;-24.866007
55.10991;7.21712;-28.390392
55.10235;7.19408;-30.000000
55.07562;7.17513;-28.000000
55.15964;7.16833;-26.000000
55.12409;7.18650;-25.967710
55.10946;7.19290;-29.892431
55.08302;7.18211;-28.934921
55.11622;7.19352;-28.000000
55.07170;7.20754;-30.000000
55.10748;7.23778;-28.000000
55.23456;7.17047;-19.000000
55.06564;7.21397;-29.000000
55.10162;7.21710;-29.037550
55.11927;7.16999;-26.686230
55.09094;7.24208;-28.000000
55.11903;7.21574;-27.000000
55.20603;7.17258;-23.000000
55.07409;7.22631;-28.000000
55.18411;7.17845;-23.032112
55.16525;7.20573;-23.000000
55.15576;7.20787;-23.000000
55.13053;7.23165;-25.000000
55.08192;7.22581;-29.715414
55.12791;7.21320;-25.540136
55.14601;7.22814;-23.000000
55.13800;7.18872;-24.000000
55.19873;7.17454;-23.000000
55.16953;7.18244;-24.000000
55.14588;7.18700;-24.293156
55.16089;7.18328;-25.000000
55.15308;7.18531;-24.908466
55.10077;7.23978;-28.000000
55.16306;7.22384;-21.969208
55.18842;7.21741;-22.000000
55.17145;7.22163;-22.000000
55.06632;7.22764;-28.000000
55.21335;7.17062;-22.579033
55.21725;7.18946;-22.000000
55.23186;7.18570;-20.926626
55.20866;7.19366;-22.000000
55.15453;7.22616;-21.853825
55.19934;7.19496;-21.000000
55.18210;7.20044;-22.000000
55.19055;7.19776;-21.624441
55.11478;7.23592;-26.320988
55.17679;7.18040;-23.744564
55.17360;7.20269;-22.525818
55.20546;7.21299;-21.694592
55.22921;7.19878;-22.000000
55.22065;7.16867;-22.033094
55.22273;7.20857;-21.449818
55.08262;7.20636;-30.000000
55.13792;7.22996;-23.895971
55.21404;7.21088;-22.000000
55.22922;7.16717;-20.318615
55.22505;7.18441;-23.000000
55.13735;7.21124;-24.104231
55.14671;7.20997;-23.000000
55.19695;7.21509;-21.000000
55.06711;7.24076;-28.000000
55.06491;7.20000;-30.000000
55.08162;7.24418;-28.000000
55.06410;7.18602;-29.000000
55.19141;7.17650;-23.000000
55.07422;7.24646;-28.000000
55.07374;7.19185;-29.263926
55.17991;7.21952;-22.000000
